‚s‚n‚o‚h‚w,,,,,,,
Date,Time,Open,High,Low,Close,Volume,OI
2022-01-28,00:00:00, 1862.78, 1880.00, 1852.22, 1876.89, 0.00, 0.00
2022-01-27,00:00:00, 1902.24, 1906.22, 1835.26, 1842.44, 0.00, 0.00
2022-01-26,00:00:00, 1900.37, 1905.95, 1885.68, 1891.85, 0.00, 0.00
2022-01-25,00:00:00, 1919.53, 1920.38, 1881.89, 1896.62, 0.00, 0.00
2022-01-24,00:00:00, 1911.24, 1933.43, 1903.75, 1929.87, 0.00, 0.00
2022-01-21,00:00:00, 1917.16, 1930.66, 1899.88, 1927.18, 0.00, 0.00
2022-01-20,00:00:00, 1916.58, 1945.60, 1908.07, 1938.53, 0.00, 0.00
2022-01-19,00:00:00, 1954.10, 1958.20, 1913.47, 1919.72, 0.00, 0.00
2022-01-18,00:00:00, 1995.29, 2003.69, 1969.70, 1978.38, 0.00, 0.00
2022-01-17,00:00:00, 1987.32, 2000.16, 1983.71, 1986.71, 0.00, 0.00
2022-01-14,00:00:00, 1992.88, 1993.62, 1962.03, 1977.66, 0.00, 0.00
2022-01-13,00:00:00, 2014.02, 2014.35, 2004.90, 2005.58, 0.00, 0.00
2022-01-12,00:00:00, 1999.82, 2021.09, 1998.52, 2019.36, 0.00, 0.00
2022-01-11,00:00:00, 1993.61, 1996.05, 1972.13, 1986.82, 0.00, 0.00
2022-01-07,00:00:00, 2009.30, 2017.10, 1981.52, 1995.68, 0.00, 0.00
2022-01-06,00:00:00, 2028.22, 2030.63, 1997.01, 1997.01, 0.00, 0.00
2022-01-05,00:00:00, 2038.79, 2042.00, 2033.28, 2039.27, 0.00, 0.00
2022-01-04,00:00:00, 2015.61, 2031.65, 2005.45, 2030.22, 0.00, 0.00
2021-12-30,00:00:00, 1991.58, 2000.77, 1980.19, 1992.33, 0.00, 0.00
2021-12-29,00:00:00, 2001.14, 2008.24, 1991.63, 1998.99, 0.00, 0.00
2021-12-28,00:00:00, 1995.13, 2005.05, 1991.33, 2005.02, 0.00, 0.00
2021-12-27,00:00:00, 1986.64, 1988.35, 1976.38, 1977.90, 0.00, 0.00
2021-12-24,00:00:00, 1993.29, 1996.20, 1985.15, 1986.78, 0.00, 0.00
2021-12-23,00:00:00, 1980.88, 1989.43, 1978.13, 1989.43, 0.00, 0.00
2021-12-22,00:00:00, 1976.82, 1979.55, 1966.43, 1971.51, 0.00, 0.00
2021-12-21,00:00:00, 1965.40, 1976.82, 1956.99, 1969.79, 0.00, 0.00
2021-12-20,00:00:00, 1967.28, 1970.26, 1940.27, 1941.33, 0.00, 0.00
2021-12-17,00:00:00, 2004.13, 2009.45, 1980.21, 1984.47, 0.00, 0.00
