“úŒo•½‹Ï,,,,,,,
Date,Time,Open,High,Low,Close,Volume,OI
2021-11-12,00:00:00, 29381.45, 29661.22, 29381.45, 29609.97, 0.00, 0.00
2021-11-11,00:00:00, 29046.19, 29336.03, 29040.08, 29277.86, 0.00, 0.00
2021-11-10,00:00:00, 29209.06, 29296.88, 29079.77, 29106.78, 0.00, 0.00
2021-11-09,00:00:00, 29557.55, 29750.46, 29240.31, 29285.46, 0.00, 0.00
2021-11-08,00:00:00, 29735.45, 29735.45, 29507.05, 29507.05, 0.00, 0.00
2021-11-05,00:00:00, 29840.73, 29840.73, 29504.07, 29611.57, 0.00, 0.00
2021-11-04,00:00:00, 29859.74, 29880.81, 29718.78, 29794.37, 0.00, 0.00
2021-11-02,00:00:00, 29462.40, 29599.57, 29457.18, 29520.90, 0.00, 0.00
2021-11-01,00:00:00, 29330.68, 29666.83, 29267.63, 29647.08, 0.00, 0.00
2021-10-29,00:00:00, 28819.16, 29000.65, 28475.06, 28892.69, 0.00, 0.00
2021-10-28,00:00:00, 28871.61, 28895.11, 28693.06, 28820.09, 0.00, 0.00
2021-10-27,00:00:00, 29056.01, 29139.22, 28870.25, 29098.24, 0.00, 0.00
2021-10-26,00:00:00, 28927.61, 29160.76, 28893.95, 29106.01, 0.00, 0.00
2021-10-25,00:00:00, 28527.13, 28668.70, 28472.55, 28600.41, 0.00, 0.00
2021-10-22,00:00:00, 28578.53, 28989.50, 28546.57, 28804.85, 0.00, 0.00
2021-10-21,00:00:00, 29152.74, 29220.82, 28688.78, 28708.58, 0.00, 0.00
2021-10-20,00:00:00, 29385.95, 29489.11, 29222.32, 29255.55, 0.00, 0.00
2021-10-19,00:00:00, 29117.28, 29272.49, 29075.37, 29215.52, 0.00, 0.00
2021-10-18,00:00:00, 29093.82, 29144.33, 28924.40, 29025.46, 0.00, 0.00
2021-10-15,00:00:00, 28787.26, 29082.35, 28726.22, 29068.63, 0.00, 0.00
2021-10-14,00:00:00, 28264.41, 28576.68, 28234.01, 28550.93, 0.00, 0.00
2021-10-13,00:00:00, 28085.44, 28364.99, 27993.46, 28140.28, 0.00, 0.00
2021-10-12,00:00:00, 28458.88, 28468.88, 28166.38, 28230.61, 0.00, 0.00
2021-10-11,00:00:00, 27977.57, 28581.36, 27893.32, 28498.20, 0.00, 0.00
2021-10-08,00:00:00, 28031.37, 28321.35, 28018.89, 28048.94, 0.00, 0.00
2021-10-07,00:00:00, 27665.97, 28015.11, 27607.97, 27678.21, 0.00, 0.00
2021-10-06,00:00:00, 28033.91, 28209.82, 27293.62, 27528.87, 0.00, 0.00
2021-10-05,00:00:00, 28050.39, 28058.67, 27460.29, 27822.12, 0.00, 0.00
2021-10-04,00:00:00, 29044.47, 29046.06, 28343.58, 28444.89, 0.00, 0.00
2021-10-01,00:00:00, 29235.11, 29393.67, 28680.73, 28771.07, 0.00, 0.00
2021-09-30,00:00:00, 29569.19, 29622.27, 29311.34, 29452.66, 0.00, 0.00
2021-09-29,00:00:00, 29611.92, 29679.26, 29329.16, 29544.29, 0.00, 0.00
2021-09-28,00:00:00, 30142.38, 30207.63, 30001.99, 30183.96, 0.00, 0.00
2021-09-27,00:00:00, 30277.82, 30414.61, 30197.40, 30240.06, 0.00, 0.00
2021-09-24,00:00:00, 30141.61, 30276.38, 30110.30, 30248.81, 0.00, 0.00
2021-09-22,00:00:00, 29744.73, 29868.10, 29573.88, 29639.40, 0.00, 0.00
2021-09-21,00:00:00, 30021.25, 30051.00, 29832.52, 29839.71, 0.00, 0.00
2021-09-17,00:00:00, 30387.54, 30541.99, 30358.93, 30500.05, 0.00, 0.00
2021-09-16,00:00:00, 30606.15, 30622.39, 30202.51, 30323.34, 0.00, 0.00
2021-09-15,00:00:00, 30464.17, 30573.41, 30347.30, 30511.71, 0.00, 0.00
2021-09-14,00:00:00, 30584.77, 30795.78, 30504.81, 30670.10, 0.00, 0.00
2021-09-13,00:00:00, 30372.02, 30447.37, 30229.01, 30447.37, 0.00, 0.00
2021-09-10,00:00:00, 30089.45, 30381.84, 30064.02, 30381.84, 0.00, 0.00
2021-09-09,00:00:00, 29959.21, 30097.56, 29909.92, 30008.19, 0.00, 0.00
2021-09-08,00:00:00, 29819.55, 30241.87, 29787.13, 30181.21, 0.00, 0.00
2021-09-07,00:00:00, 29883.92, 30048.23, 29838.43, 29916.14, 0.00, 0.00
2021-09-06,00:00:00, 29501.22, 29705.04, 29469.35, 29659.89, 0.00, 0.00
2021-09-03,00:00:00, 28626.48, 29149.65, 28607.87, 29128.11, 0.00, 0.00
2021-09-02,00:00:00, 28522.46, 28626.20, 28412.91, 28543.51, 0.00, 0.00
2021-09-01,00:00:00, 28179.04, 28457.67, 28179.04, 28451.02, 0.00, 0.00
2021-08-31,00:00:00, 27690.77, 28158.95, 27602.21, 28089.54, 0.00, 0.00
2021-08-30,00:00:00, 27867.60, 27921.55, 27656.63, 27789.29, 0.00, 0.00
2021-08-27,00:00:00, 27581.24, 27670.66, 27481.23, 27641.14, 0.00, 0.00
2021-08-26,00:00:00, 27793.63, 27828.28, 27684.50, 27742.29, 0.00, 0.00
2021-08-25,00:00:00, 27768.13, 27897.72, 27684.05, 27724.80, 0.00, 0.00
2021-08-24,00:00:00, 27653.23, 27817.89, 27653.23, 27732.10, 0.00, 0.00
2021-08-23,00:00:00, 27193.10, 27541.63, 27193.10, 27494.24, 0.00, 0.00
2021-08-20,00:00:00, 27238.45, 27316.79, 26954.81, 27013.25, 0.00, 0.00
2021-08-19,00:00:00, 27398.58, 27504.80, 27255.58, 27281.17, 0.00, 0.00
2021-08-18,00:00:00, 27418.08, 27671.57, 27347.77, 27585.91, 0.00, 0.00
2021-08-17,00:00:00, 27666.94, 27750.39, 27424.47, 27424.47, 0.00, 0.00
2021-08-16,00:00:00, 27806.11, 27833.21, 27427.38, 27523.19, 0.00, 0.00
2021-08-13,00:00:00, 28038.96, 28070.00, 27949.33, 27977.15, 0.00, 0.00
2021-08-12,00:00:00, 28177.20, 28279.80, 28006.31, 28015.02, 0.00, 0.00
2021-08-11,00:00:00, 28045.84, 28146.68, 27974.99, 28070.51, 0.00, 0.00
2021-08-10,00:00:00, 27887.03, 28128.61, 27808.54, 27888.15, 0.00, 0.00
2021-08-06,00:00:00, 27709.22, 27888.87, 27709.22, 27820.04, 0.00, 0.00
2021-08-05,00:00:00, 27526.67, 27741.55, 27526.67, 27728.12, 0.00, 0.00
2021-08-04,00:00:00, 27612.90, 27636.34, 27488.74, 27584.08, 0.00, 0.00
2021-08-03,00:00:00, 27580.03, 27724.45, 27492.40, 27641.83, 0.00, 0.00
2021-08-02,00:00:00, 27493.32, 27834.60, 27493.32, 27781.02, 0.00, 0.00
2021-07-30,00:00:00, 27677.89, 27699.35, 27272.49, 27283.59, 0.00, 0.00
2021-07-29,00:00:00, 27722.61, 27798.05, 27663.41, 27782.42, 0.00, 0.00
2021-07-28,00:00:00, 27674.99, 27809.86, 27466.99, 27581.66, 0.00, 0.00
2021-07-27,00:00:00, 27911.93, 28036.23, 27862.69, 27970.22, 0.00, 0.00
2021-07-26,00:00:00, 27990.47, 28036.47, 27786.44, 27833.29, 0.00, 0.00
2021-07-21,00:00:00, 27747.06, 27882.43, 27438.07, 27548.00, 0.00, 0.00
2021-07-20,00:00:00, 27351.80, 27564.52, 27330.15, 27388.16, 0.00, 0.00
2021-07-19,00:00:00, 27663.40, 27792.52, 27493.63, 27652.74, 0.00, 0.00
2021-07-16,00:00:00, 28039.26, 28201.30, 27847.35, 28003.08, 0.00, 0.00
2021-07-15,00:00:00, 28539.32, 28571.72, 28240.21, 28279.09, 0.00, 0.00
2021-07-14,00:00:00, 28517.31, 28696.80, 28482.82, 28608.49, 0.00, 0.00
2021-07-13,00:00:00, 28713.82, 28852.31, 28699.04, 28718.24, 0.00, 0.00
2021-07-12,00:00:00, 28412.70, 28595.12, 28405.60, 28569.02, 0.00, 0.00
2021-07-09,00:00:00, 27739.42, 28000.02, 27419.40, 27940.42, 0.00, 0.00
2021-07-08,00:00:00, 28332.63, 28366.76, 28118.03, 28118.03, 0.00, 0.00
2021-07-07,00:00:00, 28262.40, 28434.99, 28161.75, 28366.95, 0.00, 0.00
2021-07-06,00:00:00, 28677.95, 28748.23, 28587.61, 28643.21, 0.00, 0.00
2021-07-05,00:00:00, 28709.57, 28731.07, 28581.08, 28598.19, 0.00, 0.00
2021-07-02,00:00:00, 28719.24, 28849.32, 28688.63, 28783.28, 0.00, 0.00
2021-07-01,00:00:00, 28832.41, 28833.17, 28624.80, 28707.04, 0.00, 0.00
2021-06-30,00:00:00, 28896.31, 28998.99, 28779.76, 28791.53, 0.00, 0.00
2021-06-29,00:00:00, 28927.44, 28951.68, 28735.55, 28812.61, 0.00, 0.00
2021-06-28,00:00:00, 29112.66, 29121.28, 28984.93, 29048.02, 0.00, 0.00
2021-06-25,00:00:00, 29137.30, 29174.17, 28992.74, 29066.18, 0.00, 0.00
2021-06-24,00:00:00, 28811.82, 28935.34, 28758.37, 28875.23, 0.00, 0.00
2021-06-23,00:00:00, 28886.92, 29007.83, 28860.06, 28874.89, 0.00, 0.00
2021-06-22,00:00:00, 28513.07, 28895.26, 28494.46, 28884.13, 0.00, 0.00
2021-06-21,00:00:00, 28506.84, 28506.84, 27795.86, 28010.93, 0.00, 0.00
2021-06-18,00:00:00, 29136.74, 29136.74, 28957.98, 28964.08, 0.00, 0.00
2021-06-17,00:00:00, 29149.34, 29197.68, 28875.39, 29018.33, 0.00, 0.00
2021-06-16,00:00:00, 29306.14, 29434.10, 29263.72, 29291.01, 0.00, 0.00
2021-06-15,00:00:00, 29256.03, 29480.85, 29235.71, 29441.30, 0.00, 0.00
2021-06-14,00:00:00, 29153.11, 29208.35, 29026.27, 29161.80, 0.00, 0.00
2021-06-11,00:00:00, 29030.04, 29080.89, 28839.54, 28948.73, 0.00, 0.00
2021-06-10,00:00:00, 28799.74, 29007.53, 28799.74, 28958.56, 0.00, 0.00
2021-06-09,00:00:00, 28901.56, 28932.03, 28801.83, 28860.80, 0.00, 0.00
2021-06-08,00:00:00, 29046.03, 29140.68, 28897.64, 28963.56, 0.00, 0.00
2021-06-07,00:00:00, 29214.00, 29241.20, 28973.05, 29019.24, 0.00, 0.00
2021-06-04,00:00:00, 28901.42, 28991.24, 28764.68, 28941.52, 0.00, 0.00
2021-06-03,00:00:00, 28890.39, 29157.16, 28879.15, 29058.11, 0.00, 0.00
2021-06-02,00:00:00, 28730.81, 29003.55, 28565.83, 28946.14, 0.00, 0.00
2021-06-01,00:00:00, 28998.65, 29075.47, 28611.25, 28814.34, 0.00, 0.00
2021-05-31,00:00:00, 29019.45, 29147.71, 28791.60, 28860.08, 0.00, 0.00
2021-05-28,00:00:00, 28912.54, 29194.11, 28899.66, 29149.41, 0.00, 0.00
2021-05-27,00:00:00, 28543.32, 28587.21, 28360.56, 28549.01, 0.00, 0.00
2021-05-26,00:00:00, 28396.62, 28710.83, 28396.62, 28642.19, 0.00, 0.00
2021-05-25,00:00:00, 28516.99, 28576.97, 28443.74, 28553.98, 0.00, 0.00
2021-05-24,00:00:00, 28212.32, 28584.18, 28212.32, 28364.61, 0.00, 0.00
2021-05-21,00:00:00, 28269.61, 28411.56, 28193.03, 28317.83, 0.00, 0.00
2021-05-20,00:00:00, 27875.50, 28176.87, 27821.96, 28098.25, 0.00, 0.00
2021-05-19,00:00:00, 28031.22, 28216.65, 27842.98, 28044.45, 0.00, 0.00
